"scientific_name","common_name","source"
"Ictalurus punctatus x Ictalurus furcatus","catfish","FDA The Seafood List, 2023/07/21"
"Ilisha africana","herring","FDA The Seafood List, 2023/07/21"
"Ilisha fuerthii","herring","FDA The Seafood List, 2023/07/21"
"Ilisha megaloptera","herring","FDA The Seafood List, 2023/07/21"
"Illex argentinus","squid","FDA The Seafood List, 2023/07/21"
"Illex coindetii","squid","FDA The Seafood List, 2023/07/21"
"Illex illecebrosus","squid","FDA The Seafood List, 2023/07/21"
"Imbrasia belina","mopane caterpillar","Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
"Iniidae","dolphin","JL"
"Iphigenia brasiliana","false coquina","FDA The Seafood List, 2023/07/21"
"Isopisthus remifer","croaker","FDA The Seafood List, 2023/07/21"
